buckets,vial,type,time_start,time_end,o2_1,o2_2,o2_3,num_syringe,num_counted
NN1,1,blank,4:05,9:12,319.6,321.7,325,0,0
,2,sample,,9:15,320.1,320.2,319.8,7,18
,3,sample,,9:19,318.5,316.7,319.8,6,41
,4,sample,,9:23,309.1,311,313.3,6,109
,5,sample,,9:26,308.2,309.2,307.1,4,160
NN2,6,sample,,9:30,283,281.3,281,14,463
,7,blank,4:31,9:58,321.4,322.4,321.9,0,0
,8,sample,,10:01,317.4,318.6,316.6,0,18
,10,sample,,10:05,319.7,317.6,316.7,1,24
,11,sample,,10:08,310,312.3,311,4,82
,12,sample,,10:12,301.5,301.6,302.5,4,184
,13,sample,,10:16,279.1,277,278.1,7,442
NN3,14,blank,5:05,10:50,320.3,318,315.4,0,0
,15,sample,,10:53,318.4,318.1,319.1,1,4
,16,sample,,10:56,312.4,315.5,317.8,1,25
,17,sample,,10:59,312.3,316.9,315.5,2,63
,18,sample,,11:03,299,302.3,300.1,4,188
,19,sample,,11:06,283.9,284.1,283.2,9,455
UN1,20,blank,4:17,9:35,322.6,324.7,323.6,0,0
,21,sample,,9:39,319.5,318.4,319.3,3,23
,22,sample,,9:43,321.6,321.7,323.4,3,11
,23,sample,,9:46,315.6,315,311.9,3,82
,24,sample,,9:50,309.6,308.8,309,2,157
,25,sample,,9:54,311.9,310.8,309.8,8,421
UN2,26,blank,4:46,10:27,321.4,319.4,320.5,0,0
,27,sample,,10:31,320.3,323.8,319.2,0,12
,28,sample,,10:35,314.9,311.7,314,3,35
,29,sample,,10:39,313.2,313.4,312.5,3,65
,30,sample,,10:42,301.5,299.4,301.5,10,157
,31,sample,,10:45,280.2,278.4,280.3,11,373
UN3,32,blank,5:29,11:10,318.1,316.9,315.4,0,0
,33,sample,,11:13,318,314.3,316.9,2,18
,34,sample,,11:16,315.4,313.9,316.2,3,35
,35,sample,,11:20,307.3,310,309.4,5,81
,36,sample,,11:23,306.2,308.4,305,4,137
,37,sample,,11:26,282,281,280,12,418
NU1,38,blank,16:45,21:51,321.5,320.3,320.3,0,0
,39,sample,,21:55,317.7,317.6,320.1,0,13
,40,sample,,21:59,316.1,315.3,315.1,1,34
,41,sample,,22:02,311.8,314.3,309,1,78
,42,sample,,22:06,307.6,308.6,310.8,3,139
,43,sample,,22:09,286,285.9,285.6,5,407
NU2,44,blank,17:22,22:35,324.4,319.4,320.2,0,0
,45,sample,,22:38,313.5,315.5,318.8,0,26
,46,sample,,22:42,315.1,314.1,317.8,0,14
,47,sample,,22:46,310,313.5,311.4,6,69
,48,sample,,22:50,313.2,301.4,303.3,0,177
,49,sample,,22:53,277.3,280,281,0,471
NU3,50,blank,18:07,22:57,316.6,317.2,316.1,0,0
,51,sample,,23:00,313.8,312.7,310.7,0,4
,52,sample,,23:04,317.6,318.8,314,0,19
,53,sample,,23:07,311.1,314.3,314,0,59
,54,sample,,23:11,305.4,305.5,306.6,0,172
,55,sample,,23:16,294.2,296.7,292.7,5,480
UU1,56,blank,17:01,22:23,320,321.8,323,0,0
,57,sample,,22:16,316.6,314.6,313.7,1,17
,58,sample,,22:20,319.9,316.6,315,1,50
,59,sample,,22:24,311.6,312.4,312.7,0,81
,60,sample,,22:27,318.5,307.6,306.2,0,159
,61,sample,,22:31,281.2,282.4,280.4,2,453
UU2,62,blank,18:29,23:20,315.8,317,316.1,0,0
,63,sample,,23:23,307.8,312.3,312,1,85
,64,sample,,23:27,297.4,295.8,297.8,0,232
,65,sample,,23:30,303.7,305.7,303.8,1,109
,66,sample,,23:34,301.6,303.6,302.5,3,161
UU3,68,blank,18:43,23:38,316.6,315.4,317.8,0,0
,69,sample,,23:41,311.2,310.2,313.3,0,20
,70,sample,,23:45,311.6,310,309,1,35
,71,sample,,23:48,311.6,311.9,309.5,0,67
,72,sample,,23:52,302.8,303.8,300.8,0,192
,73,sample,,23:55,280.6,278.8,279,0,464
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,